City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
113,Tiksi,71.6872,128.8694,-25.46,85,100,7.23,RU,2021-02-06 15:43:03
114,Lebu,-37.6167,-73.65,62.74,77,92,6.29,CL,2021-02-06 15:39:55
115,Kharp,66.8014,65.8081,-27.98,79,27,1.39,RU,2021-02-06 15:43:03
116,Povenets,62.8487,34.8262,8.62,94,100,8.28,RU,2021-02-06 15:43:03
117,Atuona,-9.8,-139.0333,80.29,76,60,22.68,PF,2021-02-06 15:41:58
118,Hovd,48.0056,91.6419,11.55,90,86,1.68,MN,2021-02-06 15:38:34
119,Teguise,29.0605,-13.564,64.4,59,40,14.97,ES,2021-02-06 15:39:58
120,Port Augusta,-32.5,137.7667,68.0,68,90,11.5,AU,2021-02-06 15:38:19
121,State College,40.7934,-77.86,30.0,50,1,14.97,US,2021-02-06 15:43:03
122,Amahai,-3.3333,128.9167,79.52,82,100,4.56,ID,2021-02-06 15:43:03
123,Mahebourg,-20.4081,57.7,80.6,74,20,8.05,MU,2021-02-06 15:43:03
124,Ponta Delgada,37.7333,-25.6667,60.8,82,40,19.57,PT,2021-02-06 15:38:46
125,Terrace,54.5163,-128.6035,30.2,100,75,5.75,CA,2021-02-06 15:43:04
126,Clyde River,70.4692,-68.5914,-14.8,76,40,3.44,CA,2021-02-06 15:43:04
127,Nome,64.5011,-165.4064,14.0,85,90,4.61,US,2021-02-06 15:43:04
128,Beaverlodge,55.2166,-119.4361,-22.0,76,75,3.44,CA,2021-02-06 15:43:04
129,Benjamin Constant,-4.3831,-70.0311,84.2,78,75,3.44,BR,2021-02-06 15:43:04
130,Teya,60.3778,92.6267,15.4,93,100,10.38,RU,2021-02-06 15:43:04
131,Kirakira,-10.4544,161.9205,79.52,81,95,5.39,SB,2021-02-06 15:43:04
132,Beringovskiy,63.05,179.3167,-9.65,88,1,6.76,RU,2021-02-06 15:43:04
133,Mount Gambier,-37.8333,140.7667,55.4,100,90,10.36,AU,2021-02-06 15:43:04
134,Vallenar,-28.5708,-70.7581,82.11,32,12,7.78,CL,2021-02-06 15:43:04
135,Saint-Georges,12.0564,-61.7485,86.0,54,40,23.02,GD,2021-02-06 15:41:44
136,Dwarka,22.2394,68.9678,70.34,49,0,14.72,IN,2021-02-06 15:38:13
137,Bure,10.7,37.0667,63.57,30,14,7.23,ET,2021-02-06 15:40:19
138,Sabya,17.1495,42.6254,80.6,57,20,8.05,SA,2021-02-06 15:43:05
139,Chicama,-7.8447,-79.1469,69.8,88,90,6.91,PE,2021-02-06 15:43:05
140,Rawson,-43.3002,-65.1023,66.06,52,14,18.3,AR,2021-02-06 15:43:05
141,Sterling,39.0062,-77.4286,45.0,45,75,11.5,US,2021-02-06 15:43:05
142,Port Alfred,-33.5906,26.891,77.0,87,15,3.0,ZA,2021-02-06 15:43:05
143,Kaitangata,-46.2817,169.8464,50.25,93,2,3.51,NZ,2021-02-06 15:43:05
144,Baghmara,23.795,86.2085,61.59,73,90,6.38,IN,2021-02-06 15:43:05
145,Menomonie,44.8755,-91.9193,-2.0,65,40,18.41,US,2021-02-06 15:43:05
146,Grindavik,63.8424,-22.4338,37.4,65,75,21.85,IS,2021-02-06 15:43:06
147,Grand Gaube,-20.0064,57.6608,80.01,77,46,5.01,MU,2021-02-06 15:43:06
148,Mathbaria,22.2876,89.9593,64.78,57,0,4.76,BD,2021-02-06 15:43:06
149,Jalu,29.0331,21.5482,68.5,28,69,4.94,LY,2021-02-06 15:43:06
150,Micheweni,-4.9667,39.8333,81.5,75,0,11.95,TZ,2021-02-06 15:43:06
151,Sur,22.5667,59.5289,65.34,59,0,7.09,OM,2021-02-06 15:41:46
152,Pangnirtung,66.1451,-65.7125,14.0,85,75,4.61,CA,2021-02-06 15:39:56
153,Mamallapuram,12.6264,80.1722,75.2,73,20,3.44,IN,2021-02-06 15:43:06
154,Kilindoni,-7.9139,39.6668,82.24,76,15,12.75,TZ,2021-02-06 15:43:06
155,Thompson,55.7435,-97.8558,-34.6,67,75,12.66,CA,2021-02-06 15:43:06
156,Tuktoyaktuk,69.4541,-133.0374,-18.4,76,90,17.27,CA,2021-02-06 15:39:51
157,Inongo,-1.95,18.2667,81.82,69,53,2.68,CD,2021-02-06 15:43:06
158,Shimoda,34.6667,138.95,39.99,70,0,15.9,JP,2021-02-06 15:43:06
159,Mareeba,-17.0,145.4333,78.8,94,90,1.14,AU,2021-02-06 15:43:07
160,San Quintin,30.4833,-115.95,58.06,74,0,2.64,MX,2021-02-06 15:43:07
161,Blagoyevo,63.3667,47.9167,-8.32,88,96,9.55,RU,2021-02-06 15:43:07
162,Portland,45.5234,-122.6762,42.01,87,75,4.61,US,2021-02-06 15:43:07
